date,version,usage
"Sep 15, 2022",5.3.23,451
"Jul 14, 2022",5.3.22,456
"Jun 15, 2022",5.3.21,446
"May 11, 2022",5.3.20,481
"Apr 13, 2022",5.3.19,455
"Mar 31, 2022",5.3.18,508
"Mar 17, 2022",5.3.17,13
"Feb 17, 2022",5.3.16,437
"Jan 13, 2022",5.3.15,442
"Dec 16, 2021",5.3.14,440
"Nov 11, 2021",5.3.13,429
"Oct 21, 2021",5.3.12,422
"Oct 14, 2021",5.3.11,4
"Sep 15, 2021",5.3.10,434
"Jul 14, 2021",5.3.9,430
"Jun 09, 2021",5.3.8,418
"May 12, 2021",5.3.7,29
"Apr 13, 2021",5.3.6,418
"Mar 16, 2021",5.3.5,422
"Feb 16, 2021",5.3.4,411
"Jan 12, 2021",5.3.3,418
"Dec 09, 2020",5.3.2,16
"Nov 10, 2020",5.3.1,16
"Oct 27, 2020",5.3.0,11
"May 11, 2022",5.2.22.RELEASE,9
"Apr 13, 2022",5.2.21.RELEASE,4
"Mar 31, 2022",5.2.20.RELEASE,18
"Dec 16, 2021",5.2.19.RELEASE,10
"Oct 14, 2021",5.2.18.RELEASE,3
"Sep 15, 2021",5.2.17.RELEASE,5
"Jul 14, 2021",5.2.16.RELEASE,3
"May 12, 2021",5.2.15.RELEASE,15
"Apr 13, 2021",5.2.14.RELEASE,4
"Feb 16, 2021",5.2.13.RELEASE,16
"Dec 09, 2020",5.2.12.RELEASE,414
"Nov 10, 2020",5.2.11.RELEASE,393
"Oct 27, 2020",5.2.10.RELEASE,399
"Sep 15, 2020",5.2.9.RELEASE,462
"Jul 21, 2020",5.2.8.RELEASE,415
"Jun 09, 2020",5.2.7.RELEASE,406
"Apr 28, 2020",5.2.6.RELEASE,400
"Mar 24, 2020",5.2.5.RELEASE,399
"Feb 25, 2020",5.2.4.RELEASE,390
"Jan 14, 2020",5.2.3.RELEASE,49
"Dec 03, 2019",5.2.2.RELEASE,389
"Nov 02, 2019",5.2.1.RELEASE,383
"Sep 30, 2019",5.2.0.RELEASE,373
"Dec 09, 2020",5.1.20.RELEASE,19
"Oct 27, 2020",5.1.19.RELEASE,14
"Sep 15, 2020",5.1.18.RELEASE,19
"Jul 21, 2020",5.1.17.RELEASE,14
"Jun 09, 2020",5.1.16.RELEASE,17
"Apr 28, 2020",5.1.15.RELEASE,21
"Feb 25, 2020",5.1.14.RELEASE,23
"Jan 14, 2020",5.1.13.RELEASE,28
"Dec 03, 2019",5.1.12.RELEASE,15
"Nov 02, 2019",5.1.11.RELEASE,17
"Sep 28, 2019",5.1.10.RELEASE,25
"Aug 02, 2019",5.1.9.RELEASE,43
"Jun 13, 2019",5.1.8.RELEASE,44
"May 09, 2019",5.1.7.RELEASE,26
"Mar 31, 2019",5.1.6.RELEASE,52
"Feb 13, 2019",5.1.5.RELEASE,385
"Jan 09, 2019",5.1.4.RELEASE,359
"Nov 27, 2018",5.1.3.RELEASE,381
"Oct 29, 2018",5.1.2.RELEASE,48
"Oct 15, 2018",5.1.1.RELEASE,349
"Sep 21, 2018",5.1.0.RELEASE,28
"Dec 09, 2020",5.0.20.RELEASE,7
"Sep 15, 2020",5.0.19.RELEASE,3
"Jul 21, 2020",5.0.18.RELEASE,3
"Apr 28, 2020",5.0.17.RELEASE,3
"Jan 14, 2020",5.0.16.RELEASE,4
"Aug 02, 2019",5.0.15.RELEASE,5
"May 09, 2019",5.0.14.RELEASE,2
"Mar 31, 2019",5.0.13.RELEASE,35
"Jan 09, 2019",5.0.12.RELEASE,33
"Nov 27, 2018",5.0.11.RELEASE,13
"Oct 15, 2018",5.0.10.RELEASE,25
"Sep 07, 2018",5.0.9.RELEASE,19
"Jul 26, 2018",5.0.8.RELEASE,325
"Jun 12, 2018",5.0.7.RELEASE,59
"May 08, 2018",5.0.6.RELEASE,30
"Apr 03, 2018",5.0.5.RELEASE,44
"Feb 19, 2018",5.0.4.RELEASE,38
"Jan 23, 2018",5.0.3.RELEASE,35
"Nov 27, 2017",5.0.2.RELEASE,30
"Oct 24, 2017",5.0.1.RELEASE,17
"Sep 28, 2017",5.0.0.RELEASE,22
"Dec 09, 2020",4.3.30.RELEASE,32
"Sep 15, 2020",4.3.29.RELEASE,27
"Jul 21, 2020",4.3.28.RELEASE,11
"Apr 28, 2020",4.3.27.RELEASE,19
"Jan 14, 2020",4.3.26.RELEASE,16
"Aug 02, 2019",4.3.25.RELEASE,350
"May 09, 2019",4.3.24.RELEASE,31
"Mar 31, 2019",4.3.23.RELEASE,28
"Jan 09, 2019",4.3.22.RELEASE,33
"Nov 27, 2018",4.3.21.RELEASE,19
"Oct 15, 2018",4.3.20.RELEASE,338
"Sep 07, 2018",4.3.19.RELEASE,333
"Jun 13, 2018",4.3.18.RELEASE,354
"May 08, 2018",4.3.17.RELEASE,335
"Apr 09, 2018",4.3.16.RELEASE,275
"Apr 03, 2018",4.3.15.RELEASE,26
"Jan 23, 2018",4.3.14.RELEASE,371
"Nov 27, 2017",4.3.13.RELEASE,312
"Oct 10, 2017",4.3.12.RELEASE,305
"Sep 11, 2017",4.3.11.RELEASE,284
"Jul 20, 2017",4.3.10.RELEASE,293
"Jun 07, 2017",4.3.9.RELEASE,246
"Apr 18, 2017",4.3.8.RELEASE,249
"Mar 01, 2017",4.3.7.RELEASE,244
"Jan 25, 2017",4.3.6.RELEASE,146
"Dec 21, 2016",4.3.5.RELEASE,117
"Nov 07, 2016",4.3.4.RELEASE,132
"Sep 19, 2016",4.3.3.RELEASE,152
"Jul 28, 2016",4.3.2.RELEASE,118
"Jul 04, 2016",4.3.1.RELEASE,97
"Jun 10, 2016",4.3.0.RELEASE,29
"Dec 21, 2016",4.2.9.RELEASE,71
"Sep 19, 2016",4.2.8.RELEASE,25
"Jul 04, 2016",4.2.7.RELEASE,58
"May 06, 2016",4.2.6.RELEASE,102
"Feb 25, 2016",4.2.5.RELEASE,97
"Dec 17, 2015",4.2.4.RELEASE,60
"Nov 15, 2015",4.2.3.RELEASE,57
"Oct 15, 2015",4.2.2.RELEASE,56
"Sep 01, 2015",4.2.1.RELEASE,27
"Jul 31, 2015",4.2.0.RELEASE,34
"Dec 17, 2015",4.1.9.RELEASE,63
"Oct 15, 2015",4.1.8.RELEASE,28
"Jun 30, 2015",4.1.7.RELEASE,28
"May 04, 2015",4.1.6.RELEASE,111
"Feb 20, 2015",4.1.5.RELEASE,43
"Dec 30, 2014",4.1.4.RELEASE,40
"Dec 09, 2014",4.1.3.RELEASE,26
"Nov 11, 2014",4.1.2.RELEASE,26
"Oct 01, 2014",4.1.1.RELEASE,25
"Sep 04, 2014",4.1.0.RELEASE,24
"Dec 30, 2014",4.0.9.RELEASE,24
"Nov 11, 2014",4.0.8.RELEASE,14
"Sep 04, 2014",4.0.7.RELEASE,20
"Jul 08, 2014",4.0.6.RELEASE,40
"May 20, 2014",4.0.5.RELEASE,43
"Apr 30, 2014",4.0.4.RELEASE,9
"Mar 27, 2014",4.0.3.RELEASE,34
"Feb 19, 2014",4.0.2.RELEASE,38
"Jan 28, 2014",4.0.1.RELEASE,20
"Dec 12, 2013",4.0.0.RELEASE,33
"Dec 21, 2016",3.2.18.RELEASE,31
"May 06, 2016",3.2.17.RELEASE,11
"Dec 17, 2015",3.2.16.RELEASE,16
"Oct 15, 2015",3.2.15.RELEASE,11
"Jun 30, 2015",3.2.14.RELEASE,15
"Dec 30, 2014",3.2.13.RELEASE,20
"Nov 11, 2014",3.2.12.RELEASE,15
"Sep 04, 2014",3.2.11.RELEASE,10
"Jul 16, 2014",3.2.10.RELEASE,33
"May 20, 2014",3.2.9.RELEASE,44
"Feb 19, 2014",3.2.8.RELEASE,41
"Jan 28, 2014",3.2.7.RELEASE,18
"Dec 12, 2013",3.2.6.RELEASE,30
"Nov 07, 2013",3.2.5.RELEASE,37
"Aug 06, 2013",3.2.4.RELEASE,64
"May 20, 2013",3.2.3.RELEASE,100
"Mar 13, 2013",3.2.2.RELEASE,55
"Jan 24, 2013",3.2.1.RELEASE,25
"Dec 13, 2012",3.2.0.RELEASE,28
"Jan 23, 2013",3.1.4.RELEASE,58
"Oct 31, 2012",3.1.3.RELEASE,61
"Jul 07, 2012",3.1.2.RELEASE,114
"Feb 16, 2012",3.1.1.RELEASE,159
"Dec 13, 2011",3.1.0.RELEASE,104
"Dec 23, 2011",3.0.7.RELEASE,58
"Aug 19, 2011",3.0.6.RELEASE,55
"Oct 20, 2010",3.0.5.RELEASE,216
"Aug 19, 2010",3.0.4.RELEASE,54
"Jun 15, 2010",3.0.3.RELEASE,45
"Apr 02, 2010",3.0.2.RELEASE,34
"Feb 19, 2010",3.0.1.RELEASE,19
"Dec 17, 2009",3.0.0.RELEASE,32
"Sep 09, 2011",2.5.6.SEC03,8
"Jun 18, 2010",2.5.6.SEC02,17
"Apr 22, 2009",2.5.6.SEC01,29
"Nov 02, 2008",2.5.6,81
"Jun 23, 2008",2.5.5,27
"Apr 28, 2008",2.5.4,20
"Apr 07, 2008",2.5.3,8
"Mar 06, 2008",2.5.2,17
"Jan 10, 2008",2.5.1,14
"Dec 25, 2007",2.5,7
"Mar 09, 2007",1.2.9,2
"Aug 24, 2006",1.2.8,1
"May 10, 2006",1.2.7,4
"Dec 23, 2005",1.2.6,2
"Dec 23, 2005",1.2.5,3
"Dec 23, 2005",1.2.4,1
"Dec 23, 2005",1.2.3,1
"Dec 23, 2005",1.2.2,1
"Dec 23, 2005",1.2.1,1
